portable operating systems

Found 440 hits.
1. DOC ID:CACM-3127 score=1.1755296
2. DOC ID:CACM-1461 score=0.50642985
3. DOC ID:CACM-3068 score=0.40902123
4. DOC ID:CACM-2246 score=0.3299833
5. DOC ID:CACM-2111 score=0.3230007
6. DOC ID:CACM-2069 score=0.31651866
7. DOC ID:CACM-2740 score=0.30766326
8. DOC ID:CACM-2319 score=0.30766326
9. DOC ID:CACM-1462 score=0.28890023
10. DOC ID:CACM-1728 score=0.28890023
11. DOC ID:CACM-2629 score=0.28045723
12. DOC ID:CACM-2597 score=0.28045723
13. DOC ID:CACM-1750 score=0.2741132
14. DOC ID:CACM-2372 score=0.26916727
15. DOC ID:CACM-2080 score=0.26857498
16. DOC ID:CACM-2867 score=0.26857498
17. DOC ID:CACM-1247 score=0.26857498
18. DOC ID:CACM-2482 score=0.26857498
19. DOC ID:CACM-2379 score=0.26133278
20. DOC ID:CACM-1923 score=0.25321493
21. DOC ID:CACM-1680 score=0.24681911
22. DOC ID:CACM-2840 score=0.24135262
23. DOC ID:CACM-3025 score=0.24135262
24. DOC ID:CACM-2621 score=0.23838985
25. DOC ID:CACM-2541 score=0.23371433
26. DOC ID:CACM-2378 score=0.23371433
27. DOC ID:CACM-2632 score=0.23371433
28. DOC ID:CACM-1747 score=0.23342077
29. DOC ID:CACM-2317 score=0.23112017
30. DOC ID:CACM-2424 score=0.22735322
31. DOC ID:CACM-2138 score=0.22647284
32. DOC ID:CACM-2151 score=0.22647284
33. DOC ID:CACM-2320 score=0.2238125
34. DOC ID:CACM-1751 score=0.2238125
35. DOC ID:CACM-2950 score=0.2238125
36. DOC ID:CACM-3196 score=0.22226858
37. DOC ID:CACM-3174 score=0.22156307
38. DOC ID:CACM-1930 score=0.21998885
39. DOC ID:CACM-1226 score=0.21734169
40. DOC ID:CACM-3141 score=0.21734169
41. DOC ID:CACM-1324 score=0.21344522
42. DOC ID:CACM-1951 score=0.21344522
43. DOC ID:CACM-2522 score=0.21344522
44. DOC ID:CACM-1752 score=0.20095375
45. DOC ID:CACM-1236 score=0.20095375
46. DOC ID:CACM-2777 score=0.20095375
47. DOC ID:CACM-0322 score=0.1986582
48. DOC ID:CACM-2624 score=0.1986582
49. DOC ID:CACM-3026 score=0.1986582
50. DOC ID:CACM-2358 score=0.1930821
51. DOC ID:CACM-3137 score=0.18991122
52. DOC ID:CACM-2374 score=0.18991122
53. DOC ID:CACM-3028 score=0.18111807
54. DOC ID:CACM-2036 score=0.18111807
55. DOC ID:CACM-2297 score=0.160763
56. DOC ID:CACM-2184 score=0.160763
57. DOC ID:CACM-2622 score=0.160763
58. DOC ID:CACM-2625 score=0.15892656
59. DOC ID:CACM-1892 score=0.15892656
60. DOC ID:CACM-2582 score=0.15825933
61. DOC ID:CACM-1647 score=0.15825933
62. DOC ID:CACM-3050 score=0.15825933
63. DOC ID:CACM-2972 score=0.15825933
64. DOC ID:CACM-2095 score=0.15825933
65. DOC ID:CACM-0696 score=0.15825933
66. DOC ID:CACM-3105 score=0.15825933
67. DOC ID:CACM-3006 score=0.15825933
68. DOC ID:CACM-1755 score=0.14430283
69. DOC ID:CACM-2796 score=0.14430283
70. DOC ID:CACM-1069 score=0.14430283
71. DOC ID:CACM-1810 score=0.12660746
72. DOC ID:CACM-2849 score=0.12660746
73. DOC ID:CACM-1854 score=0.12660746
74. DOC ID:CACM-2342 score=0.12660746
75. DOC ID:CACM-2542 score=0.12660746
76. DOC ID:CACM-1517 score=0.12660746
77. DOC ID:CACM-3002 score=0.12660746
78. DOC ID:CACM-2535 score=0.12660746
79. DOC ID:CACM-1877 score=0.12660746
80. DOC ID:CACM-1050 score=0.10307345
81. DOC ID:CACM-1472 score=0.10203751
82. DOC ID:CACM-1591 score=0.092191696
83. DOC ID:CACM-2920 score=0.08926423
84. DOC ID:CACM-2868 score=0.08926423
85. DOC ID:CACM-2357 score=0.08926423
86. DOC ID:CACM-0597 score=0.08829741
87. DOC ID:CACM-1360 score=0.08829741
88. DOC ID:CACM-0025 score=0.08829741
89. DOC ID:CACM-0652 score=0.08829741
90. DOC ID:CACM-0018 score=0.08829741
91. DOC ID:CACM-1464 score=0.08746072
92. DOC ID:CACM-2407 score=0.08637957
93. DOC ID:CACM-2311 score=0.08637957
94. DOC ID:CACM-2345 score=0.08110635
95. DOC ID:CACM-2583 score=0.07804462
96. DOC ID:CACM-0795 score=0.07726023
97. DOC ID:CACM-1912 score=0.07726023
98. DOC ID:CACM-2995 score=0.07726023
99. DOC ID:CACM-0651 score=0.07726023
100. DOC ID:CACM-0238 score=0.07726023
