code optimization for space efficiency
Found 1579 hits.
1. DOC ID:CACM-1795 score=0.64332205
2. DOC ID:CACM-2495 score=0.5975083
3. DOC ID:CACM-1947 score=0.5535952
4. DOC ID:CACM-2748 score=0.528035
5. DOC ID:CACM-2559 score=0.4950907
6. DOC ID:CACM-1886 score=0.44647112
7. DOC ID:CACM-2897 score=0.43843484
8. DOC ID:CACM-2904 score=0.38659886
9. DOC ID:CACM-3080 score=0.38377044
10. DOC ID:CACM-2491 score=0.37791464
11. DOC ID:CACM-2680 score=0.3617208
12. DOC ID:CACM-2537 score=0.3568571
13. DOC ID:CACM-3171 score=0.34712863
14. DOC ID:CACM-2464 score=0.3463252
15. DOC ID:CACM-1195 score=0.33868977
16. DOC ID:CACM-2253 score=0.32735753
17. DOC ID:CACM-2944 score=0.3262091
18. DOC ID:CACM-2929 score=0.31939238
19. DOC ID:CACM-1655 score=0.30841085
20. DOC ID:CACM-2716 score=0.28945735
21. DOC ID:CACM-2423 score=0.2743894
22. DOC ID:CACM-1564 score=0.2743894
23. DOC ID:CACM-2374 score=0.27298835
24. DOC ID:CACM-3005 score=0.26183242
25. DOC ID:CACM-2033 score=0.26124457
26. DOC ID:CACM-1651 score=0.24911706
27. DOC ID:CACM-2611 score=0.24534898
28. DOC ID:CACM-3053 score=0.24334013
29. DOC ID:CACM-2858 score=0.24334013
30. DOC ID:CACM-3054 score=0.24068223
31. DOC ID:CACM-0267 score=0.24038294
32. DOC ID:CACM-0797 score=0.23872676
33. DOC ID:CACM-0230 score=0.23872676
34. DOC ID:CACM-1064 score=0.23872676
35. DOC ID:CACM-1289 score=0.23872676
36. DOC ID:CACM-2856 score=0.23869252
37. DOC ID:CACM-2433 score=0.23437612
38. DOC ID:CACM-1234 score=0.23171572
39. DOC ID:CACM-2701 score=0.22340249
40. DOC ID:CACM-1901 score=0.22280307
41. DOC ID:CACM-0066 score=0.22071782
42. DOC ID:CACM-1757 score=0.21100664
43. DOC ID:CACM-1542 score=0.2106169
44. DOC ID:CACM-2133 score=0.21029912
45. DOC ID:CACM-1414 score=0.20888591
46. DOC ID:CACM-1275 score=0.20888591
47. DOC ID:CACM-2835 score=0.20701885
48. DOC ID:CACM-0149 score=0.20604253
49. DOC ID:CACM-1670 score=0.20255528
50. DOC ID:CACM-1992 score=0.20255528
51. DOC ID:CACM-2722 score=0.19925252
52. DOC ID:CACM-2745 score=0.19869836
53. DOC ID:CACM-2734 score=0.19712423
54. DOC ID:CACM-2530 score=0.18242602
55. DOC ID:CACM-3129 score=0.17914577
56. DOC ID:CACM-2586 score=0.17904507
57. DOC ID:CACM-1065 score=0.17904507
58. DOC ID:CACM-1362 score=0.17705749
59. DOC ID:CACM-0048 score=0.17705749
60. DOC ID:CACM-2711 score=0.1756262
61. DOC ID:CACM-2078 score=0.1752548
62. DOC ID:CACM-1807 score=0.17389299
63. DOC ID:CACM-1223 score=0.16849889
64. DOC ID:CACM-1235 score=0.16849351
65. DOC ID:CACM-3083 score=0.16805974
66. DOC ID:CACM-1369 score=0.16523181
67. DOC ID:CACM-1204 score=0.15765558
68. DOC ID:CACM-2645 score=0.15531684
69. DOC ID:CACM-2892 score=0.15143192
70. DOC ID:CACM-1708 score=0.14958504
71. DOC ID:CACM-0093 score=0.14920424
72. DOC ID:CACM-2389 score=0.14902377
73. DOC ID:CACM-2863 score=0.14902377
74. DOC ID:CACM-1652 score=0.14447135
75. DOC ID:CACM-1676 score=0.14430216
76. DOC ID:CACM-2836 score=0.14363311
77. DOC ID:CACM-2524 score=0.1414585
78. DOC ID:CACM-1465 score=0.14062326
79. DOC ID:CACM-2126 score=0.13736169
80. DOC ID:CACM-1523 score=0.13666514
81. DOC ID:CACM-2230 score=0.13616589
82. DOC ID:CACM-1331 score=0.13049494
83. DOC ID:CACM-2498 score=0.12899466
84. DOC ID:CACM-0794 score=0.12837844
85. DOC ID:CACM-2344 score=0.12832725
86. DOC ID:CACM-2950 score=0.12738775
87. DOC ID:CACM-1551 score=0.12612447
88. DOC ID:CACM-0124 score=0.12612447
89. DOC ID:CACM-1429 score=0.12610742
90. DOC ID:CACM-1270 score=0.12610742
91. DOC ID:CACM-2365 score=0.12610742
92. DOC ID:CACM-1352 score=0.12610742
93. DOC ID:CACM-2816 score=0.12418647
94. DOC ID:CACM-2249 score=0.12392385
95. DOC ID:CACM-1030 score=0.1231686
96. DOC ID:CACM-0693 score=0.12267449
97. DOC ID:CACM-3175 score=0.121533155
98. DOC ID:CACM-1786 score=0.121533155
99. DOC ID:CACM-3064 score=0.12141173
100. DOC ID:CACM-0164 score=0.12103897
