parallel algorithms
Found 272 hits.
1. DOC ID:CACM-2973 score=1.0088185
2. DOC ID:CACM-3075 score=0.9137456
3. DOC ID:CACM-2557 score=0.8322328
4. DOC ID:CACM-3156 score=0.8261164
5. DOC ID:CACM-2266 score=0.8261164
6. DOC ID:CACM-1601 score=0.76765776
7. DOC ID:CACM-0950 score=0.68843037
8. DOC ID:CACM-1468 score=0.68843037
9. DOC ID:CACM-2433 score=0.594452
10. DOC ID:CACM-2570 score=0.594452
11. DOC ID:CACM-2289 score=0.5686563
12. DOC ID:CACM-1957 score=0.5663724
13. DOC ID:CACM-2838 score=0.5339811
14. DOC ID:CACM-2692 score=0.48292387
15. DOC ID:CACM-0141 score=0.4730892
16. DOC ID:CACM-1302 score=0.4730892
17. DOC ID:CACM-0392 score=0.4730892
18. DOC ID:CACM-2723 score=0.47197703
19. DOC ID:CACM-2114 score=0.47197703
20. DOC ID:CACM-2182 score=0.41395304
21. DOC ID:CACM-2685 score=0.40970725
22. DOC ID:CACM-2714 score=0.39114887
23. DOC ID:CACM-2896 score=0.35849383
24. DOC ID:CACM-1795 score=0.35481688
25. DOC ID:CACM-1367 score=0.35481688
26. DOC ID:CACM-1828 score=0.35481688
27. DOC ID:CACM-2700 score=0.35481688
28. DOC ID:CACM-1262 score=0.35481688
29. DOC ID:CACM-2007 score=0.3525926
30. DOC ID:CACM-0371 score=0.34904885
31. DOC ID:CACM-1158 score=0.33452457
32. DOC ID:CACM-2785 score=0.30728042
33. DOC ID:CACM-1796 score=0.29918474
34. DOC ID:CACM-2952 score=0.29568073
35. DOC ID:CACM-2895 score=0.292709
36. DOC ID:CACM-1811 score=0.2897068
37. DOC ID:CACM-0270 score=0.28207406
38. DOC ID:CACM-1342 score=0.28207406
39. DOC ID:CACM-1952 score=0.28207406
40. DOC ID:CACM-1660 score=0.28207406
41. DOC ID:CACM-0804 score=0.28207406
42. DOC ID:CACM-2325 score=0.28207406
43. DOC ID:CACM-2342 score=0.2644649
44. DOC ID:CACM-2851 score=0.2644649
45. DOC ID:CACM-3059 score=0.25606704
46. DOC ID:CACM-2865 score=0.25606704
47. DOC ID:CACM-2401 score=0.25606704
48. DOC ID:CACM-2080 score=0.2508934
49. DOC ID:CACM-3073 score=0.2508934
50. DOC ID:CACM-2417 score=0.2468148
51. DOC ID:CACM-2226 score=0.2468148
52. DOC ID:CACM-1374 score=0.2468148
53. DOC ID:CACM-2725 score=0.2468148
54. DOC ID:CACM-1851 score=0.2468148
55. DOC ID:CACM-1953 score=0.2468148
56. DOC ID:CACM-2830 score=0.2468148
57. DOC ID:CACM-1551 score=0.2442833
58. DOC ID:CACM-3044 score=0.2365446
59. DOC ID:CACM-1569 score=0.2365446
60. DOC ID:CACM-2884 score=0.23321806
61. DOC ID:CACM-2902 score=0.21591799
62. DOC ID:CACM-2950 score=0.21591799
63. DOC ID:CACM-3166 score=0.21591799
64. DOC ID:CACM-2505 score=0.21155554
65. DOC ID:CACM-2362 score=0.21155554
66. DOC ID:CACM-3061 score=0.21155554
67. DOC ID:CACM-2942 score=0.21155554
68. DOC ID:CACM-2863 score=0.21155554
69. DOC ID:CACM-2025 score=0.21155554
70. DOC ID:CACM-1658 score=0.21155554
71. DOC ID:CACM-2222 score=0.21155554
72. DOC ID:CACM-2740 score=0.20907786
73. DOC ID:CACM-2727 score=0.20697652
74. DOC ID:CACM-1200 score=0.20697652
75. DOC ID:CACM-1380 score=0.20697652
76. DOC ID:CACM-1008 score=0.20697652
77. DOC ID:CACM-1747 score=0.20485362
78. DOC ID:CACM-2175 score=0.20485362
79. DOC ID:CACM-1846 score=0.20485362
80. DOC ID:CACM-2195 score=0.20485362
81. DOC ID:CACM-2272 score=0.19945648
82. DOC ID:CACM-1873 score=0.19945648
83. DOC ID:CACM-2146 score=0.19710524
84. DOC ID:CACM-2903 score=0.19710524
85. DOC ID:CACM-2273 score=0.19710524
86. DOC ID:CACM-2283 score=0.19710524
87. DOC ID:CACM-1924 score=0.19710524
88. DOC ID:CACM-3006 score=0.19710524
89. DOC ID:CACM-2679 score=0.18321247
90. DOC ID:CACM-2997 score=0.18321247
91. DOC ID:CACM-2490 score=0.18321247
92. DOC ID:CACM-1392 score=0.18321247
93. DOC ID:CACM-1471 score=0.17740844
94. DOC ID:CACM-2376 score=0.17740844
95. DOC ID:CACM-1536 score=0.17740844
96. DOC ID:CACM-1341 score=0.17740844
97. DOC ID:CACM-3175 score=0.17740844
98. DOC ID:CACM-1960 score=0.17740844
99. DOC ID:CACM-1554 score=0.17740844
100. DOC ID:CACM-2514 score=0.17740844
