parallel processor in information retrieval
Found 1529 hits.
1. DOC ID:CACM-2967 score=0.7082254
2. DOC ID:CACM-0634 score=0.5461165
3. DOC ID:CACM-2973 score=0.5330611
4. DOC ID:CACM-1811 score=0.51177335
5. DOC ID:CACM-0891 score=0.41518122
6. DOC ID:CACM-2965 score=0.40958735
7. DOC ID:CACM-2530 score=0.40958735
8. DOC ID:CACM-3168 score=0.40958735
9. DOC ID:CACM-2976 score=0.40958735
10. DOC ID:CACM-2288 score=0.40007916
11. DOC ID:CACM-1927 score=0.38666227
12. DOC ID:CACM-2278 score=0.37855646
13. DOC ID:CACM-2838 score=0.35851765
14. DOC ID:CACM-2882 score=0.35653657
15. DOC ID:CACM-1457 score=0.35578042
16. DOC ID:CACM-2140 score=0.35020137
17. DOC ID:CACM-1699 score=0.34822118
18. DOC ID:CACM-1601 score=0.34366482
19. DOC ID:CACM-3169 score=0.34132278
20. DOC ID:CACM-2516 score=0.3396688
21. DOC ID:CACM-1935 score=0.3378923
22. DOC ID:CACM-2519 score=0.32636416
23. DOC ID:CACM-3012 score=0.32482263
24. DOC ID:CACM-1681 score=0.31271085
25. DOC ID:CACM-2114 score=0.3120005
26. DOC ID:CACM-2175 score=0.30691025
27. DOC ID:CACM-1830 score=0.30682305
28. DOC ID:CACM-2865 score=0.29916105
29. DOC ID:CACM-1937 score=0.29438117
30. DOC ID:CACM-2070 score=0.28660002
31. DOC ID:CACM-0275 score=0.28660002
32. DOC ID:CACM-0651 score=0.28660002
33. DOC ID:CACM-2990 score=0.28351814
34. DOC ID:CACM-1675 score=0.27305824
35. DOC ID:CACM-2645 score=0.27148092
36. DOC ID:CACM-2723 score=0.26939452
37. DOC ID:CACM-2497 score=0.26721078
38. DOC ID:CACM-2307 score=0.2662603
39. DOC ID:CACM-1846 score=0.26329422
40. DOC ID:CACM-2455 score=0.26295358
41. DOC ID:CACM-1725 score=0.2572509
42. DOC ID:CACM-1032 score=0.25681505
43. DOC ID:CACM-2631 score=0.25681505
44. DOC ID:CACM-1959 score=0.2559755
45. DOC ID:CACM-1359 score=0.25542647
46. DOC ID:CACM-2947 score=0.2553496
47. DOC ID:CACM-1236 score=0.2507608
48. DOC ID:CACM-2711 score=0.2507608
49. DOC ID:CACM-1747 score=0.24959369
50. DOC ID:CACM-1613 score=0.24941622
51. DOC ID:CACM-0292 score=0.24565716
52. DOC ID:CACM-0239 score=0.24565716
53. DOC ID:CACM-1831 score=0.24565716
54. DOC ID:CACM-2532 score=0.24565716
55. DOC ID:CACM-2561 score=0.24531764
56. DOC ID:CACM-2493 score=0.23892593
57. DOC ID:CACM-2032 score=0.23892593
58. DOC ID:CACM-1960 score=0.23832633
59. DOC ID:CACM-2575 score=0.23623443
60. DOC ID:CACM-1976 score=0.23291053
61. DOC ID:CACM-2714 score=0.2318515
62. DOC ID:CACM-2846 score=0.23022163
63. DOC ID:CACM-1788 score=0.22707391
64. DOC ID:CACM-3134 score=0.22261603
65. DOC ID:CACM-2896 score=0.22205634
66. DOC ID:CACM-2160 score=0.22039233
67. DOC ID:CACM-1367 score=0.21977878
68. DOC ID:CACM-2795 score=0.21719776
69. DOC ID:CACM-1711 score=0.21719776
70. DOC ID:CACM-1262 score=0.21610773
71. DOC ID:CACM-0440 score=0.20856614
72. DOC ID:CACM-1652 score=0.20711954
73. DOC ID:CACM-1514 score=0.20635842
74. DOC ID:CACM-1828 score=0.20607825
75. DOC ID:CACM-2141 score=0.20479368
76. DOC ID:CACM-2543 score=0.20479368
77. DOC ID:CACM-2552 score=0.2047143
78. DOC ID:CACM-2781 score=0.2047143
79. DOC ID:CACM-2412 score=0.2047143
80. DOC ID:CACM-1456 score=0.20312296
81. DOC ID:CACM-2623 score=0.20312296
82. DOC ID:CACM-2484 score=0.202765
83. DOC ID:CACM-3135 score=0.20197439
84. DOC ID:CACM-2451 score=0.20110689
85. DOC ID:CACM-2722 score=0.19743586
86. DOC ID:CACM-2377 score=0.19457446
87. DOC ID:CACM-1108 score=0.19457446
88. DOC ID:CACM-0406 score=0.19209304
89. DOC ID:CACM-1527 score=0.1893306
90. DOC ID:CACM-2991 score=0.18778704
91. DOC ID:CACM-1680 score=0.18740638
92. DOC ID:CACM-1194 score=0.18609634
93. DOC ID:CACM-3075 score=0.18597947
94. DOC ID:CACM-1742 score=0.18540506
95. DOC ID:CACM-1530 score=0.18354164
96. DOC ID:CACM-2388 score=0.18319824
97. DOC ID:CACM-2746 score=0.18319824
98. DOC ID:CACM-2650 score=0.18319824
99. DOC ID:CACM-2895 score=0.18130824
100. DOC ID:CACM-3156 score=0.18030451
